query,planning,execution,cost
10a.sql,5.237,928.727,47277.13
10b.sql,2.212,371.526,43796.69
10c.sql,2.08,4079.055,652673.58
11a.sql,5.32,39.087,468.27
11b.sql,3.864,5.797,463.74
11c.sql,4.504,286.261,6300.62
11d.sql,4.301,224.432,6272.4
12a.sql,5.348,386.165,16736.34
12b.sql,4.842,92.835,19236.67
12c.sql,4.34,1337.591,17206.1
13a.sql,8.065,1687.005,19268.16
13b.sql,6.782,650.627,19236.64
13c.sql,6.773,646.878,19236.64
13d.sql,7.126,4079.588,19269.46
14a.sql,3.997,828.31,7503.2
14b.sql,3.62,289.304,4939.5
14c.sql,3.94,1730.288,7509.74
15a.sql,11.604,449.705,49403.37
15b.sql,11.659,52.43,6430.21
15c.sql,12.907,1175.321,271465.5
15d.sql,13.238,1409.145,241565.33
16a.sql,7.859,621.046,3822.44
16b.sql,5.939,43733.165,5519.16
16c.sql,5.293,3338.558,4427.19
16d.sql,8.253,2483.285,4250.67
17a.sql,2.776,23069.269,4655.08
17b.sql,2.69,25212.991,4442.05
17c.sql,2.736,22650.692,4442.05
17d.sql,2.656,22673.913,4442.05
17e.sql,2.798,24014.978,4654.52
17f.sql,2.7,26984.734,4760.9
18a.sql,2.646,10192.161,145077.23
18b.sql,2.458,385.587,17786.52
18c.sql,2.433,13386.462,93769.51
19a.sql,19.382,7701.865,263161.62
19b.sql,18.659,210.299,55735.13
19c.sql,19.277,16063.451,294344.83
19d.sql,20.08,7814.631,489763.91
1a.sql,0.959,95.668,19564.02
1b.sql,0.777,82.956,19621.44
1c.sql,0.812,86.961,19498.51
1d.sql,0.794,86.121,19621.4
20a.sql,11.289,135864.089,2496.92
20b.sql,10.39,56011.234,2496.97
20c.sql,11.297,59323.402,2496.97
21a.sql,10.743,46.294,470.06
21b.sql,10.348,24.191,469.74
21c.sql,10.55,40.308,471.41
22a.sql,32.279,1129.592,7533.68
22b.sql,32.25,605.723,7532.63
22c.sql,31.746,3443.389,7536.85
22d.sql,35.179,3573.737,7536.76
23a.sql,29.64,438.851,3875.69
23b.sql,28.74,402.241,3875.52
23c.sql,30.492,865.053,3864.28
24a.sql,69.807,590.483,6741.46
24b.sql,66.305,149.876,6524.75
25a.sql,9.753,6561.132,8038.65
25b.sql,9.492,462.15,8014.49
25c.sql,10.632,23228.347,9296.72
26a.sql,60.368,1705.391,2506.42
26b.sql,60.343,766.939,2506.47
26c.sql,59.358,4687.206,2506.43
27a.sql,57.739,15.392,331.86
27b.sql,57.7,15.585,326.0
27c.sql,58.669,17.529,332.75
28a.sql,76.369,4580.96,3248.84
28b.sql,75.11,777.041,3184.98
28c.sql,78.731,1818.612,2491.12
29a.sql,99.917,7824.439,2818.71
29b.sql,105.044,30.439,4036.41
29c.sql,101.001,1879.476,4144.63
2a.sql,0.826,775.791,3865.2
2b.sql,0.813,800.568,3862.19
2c.sql,0.873,613.254,3861.69
2d.sql,0.811,1025.385,3878.35
30a.sql,66.416,1885.342,2562.78
30b.sql,63.365,1970.823,2556.3
30c.sql,64.15,9374.43,2561.78
31a.sql,47.139,2609.837,9527.95
31b.sql,47.525,818.784,9514.23
31c.sql,44.152,2132.929,9528.16
32a.sql,1.264,13.739,3823.91
32b.sql,1.256,231.025,3823.91
33a.sql,78.069,22.258,1776.52
33b.sql,79.404,40.234,387.02
33c.sql,94.943,15.562,1726.61
3a.sql,0.817,348.622,16912.92
3b.sql,0.534,193.214,16697.94
3c.sql,0.588,620.11,17181.33
4a.sql,1.041,206.739,16619.22
4b.sql,0.823,178.625,16334.61
4c.sql,0.856,211.581,16628.22
5a.sql,0.956,160.945,36259.79
5b.sql,0.854,184.677,38846.25
5c.sql,0.983,221.519,37555.34
6a.sql,0.997,44.209,3880.05
6b.sql,0.781,477.736,12461.38
6c.sql,0.796,9.809,3777.33
6d.sql,0.827,18588.966,15456.91
6e.sql,0.824,23.211,4150.75
6f.sql,0.83,19124.923,15486.27
7a.sql,4.462,2401.939,2065.32
7b.sql,4.106,561.784,1520.72
7c.sql,4.317,31235.699,13798.78
8a.sql,2.429,3960.267,42165.19
8b.sql,2.344,222.461,43552.12
8c.sql,2.601,11250.788,588758.42
8d.sql,2.628,3920.441,588758.42
9a.sql,4.823,408.674,151302.58
9b.sql,4.936,3911.91,105293.28
9c.sql,4.893,589.006,361416.97
9d.sql,4.57,4075.759,484126.34
